Código;Procedimento 
201010011;AMNIOCENTESE
201010046;BIOPSIA DE ANUS E CANAL ANAL
201010062;BIOPSIA DE BEXIGA
201010070;BIOPSIA DE BOLSA ESCROTAL
201010127;BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO
201010135;BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)
201010143;BIOPSIA DE ENDOCARDIO / MIOCARDIO
201010160;BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA
201010194;BIOPSIA DE FARINGE
201010208;BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO
201010216;BIOPSIA DE FIGADO POR PUNCAO
201010224;BIOPSIA DE GANGLIO LINFATICO
201010232;BIOPSIA DE GLANDULA SALIVAR
201010240;BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE E VITREO
201010267;BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)
201010275;BIOPSIA DE MEDULA OSSEA
201010283;BIOPSIA DE MUSCULO (A CEU ABERTO)
201010305;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)
201010313;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)
201010321;BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)
201010330;BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)
201010372;BIOPSIA DE PELE E PARTES MOLES
201010380;BIOPSIA DE PENIS
201010402;BIOPSIA DE PLEURA (POR AGULHA / PLEUROSCOPIA)
201010437;BIOPSIA DE RIM POR PUNCAO
201010488;BIOPSIA DE URETER
201010518;BIOPSIA DE VULVA
201010526;BIOPSIA DOS TECIDOS MOLES DA BOCA
201010534;BIOPSIA ESTEREOTAXICA
201010542;BIOPSIA PERCUTANEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONANCIA MAGNETICA / RAIO X
201010550;BIOPSIA PRE-ESCALENICA
201010577;BIOPSIAS MULTIPLAS P/ ESTADIAMENTO
201010623;PUNCAO EXPLORADORA DO DEFERENTE
201010666;BIOPSIA DO COLO UTERINO
202031098;REACAO DE HEMAGLUTINACAO (TPHA) P/ DIAGNOSTICO DA SIFILIS
203010027;EXAME CITOPATOLOGICO HORMONAL SERIADO (MINIMO 3 COLETAS)
203010035;EXAME DE CITOLOGIA ONCOTICA (EXCETO CERVICO-VAGINAL)
203020030;EXAME ANATOMO-PATOLOGICO P/ CONGELAMENTO / PARAFINA (EXCETO COLO UTERINO)- PECA CIRURGICA
204020018;MIELOGRAFIA
204030013;BRONCOGRAFIA UNILATERAL
204030048;MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA
205010016;ECOCARDIOGRAFIA DE ESTRESSE
205010024;ECOCARDIOGRAFIA TRANSESOFAGICA
205010032;ECOCARDIOGRAFIA TRANSTORACICA
205010040;ULTRA-SONOGRAFIA DOPPLER COLORIDO DE VASOS ( ATE 3 VASOS )
205020011;ECODOPPLER TRANSCRANIANO
205020038;ULTRA-SONOGRAFIA DE ABDOMEN SUPERIOR (FIGADO, VESICULA, VIAS BILIARES)
205020046;ULTRA-SONOGRAFIA DE ABDOMEN TOTAL
205020054;ULTRA-SONOGRAFIA DE APARELHO URINARIO
205020070;ULTRA-SONOGRAFIA DE BOLSA ESCROTAL
205020089;ULTRA-SONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR)
205020119;ULTRA-SONOGRAFIA DE PROSTATA (VIA TRANSRETAL)
205020127;ULTRA-SONOGRAFIA DE TIREOIDE
205020135;ULTRA-SONOGRAFIA DE TORAX (EXTRACARDIACA)
205020143;ULTRA-SONOGRAFIA OBSTETRICA
205020160;ULTRA-SONOGRAFIA PELVICA (GINECOLOGICA)
205020178;ULTRA-SONOGRAFIA TRANSFONTANELA
206010010;TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE
206010028;TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE
206010036;TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE
206010044;TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES
206010052;TOMOGRAFIA COMPUTADORIZADA DE PESCOCO
206010060;TOMOGRAFIA COMPUTADORIZADA DE SELA TURCICA
206010079;TOMOGRAFIA COMPUTADORIZADA DO CRANIO
206020015;TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO SUPERIOR
206020023;TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES
206020031;TOMOGRAFIA COMPUTADORIZADA DE TORAX
206020040;TOMOGRAFIA DE HEMITORAX / MEDIASTINO (POR PLANO)
206030010;TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN 
206030029;TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR
206030037;TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA
207010013;ANGIORESSONANCIA CEREBRAL
207010030;RESSONANCIA MAGNETICA DE COLUNA CERVICAL
207010048;RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA
207010056;RESSONANCIA MAGNETICA DE COLUNA TORACICA
207010064;RESSONANCIA MAGNETICA DE CRANIO
207010072;RESSONANCIA MAGNETICA DE SELA TURCICA
207020019;RESSONANCIA MAGNETICA DE CORACAO / AORTA C/ CINE
207020027;RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL)
207020035;RESSONANCIA MAGNETICA DE TORAX
207030014;RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR
207030022;RESSONANCIA MAGNETICA DE BACIA / PELVE
207030030;RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL)
207030049;RESSONANCIA MAGNETICA DE VIAS BILIARES
208010025;CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE ESTRESSE (MINIMO 3 PROJECOES)
